年度	期別	課程總門數（筆數）	開課月份	課程名稱	授課講師	課程時間	上課人數	備註
112年	第2期	3	11	全日班 非正規教育學分班-勞動基準法及相關法令剖析(共三堂)	邱駿彥	12月11日	55	
112年	第2期	3	11	全日班 非正規教育學分班-勞動基準法及相關法令剖析(共三堂)	邱駿彥	12月6日	59	
112年	第2期	3	11	全日班 非正規教育學分班-勞動基準法及相關法令剖析(共三堂)	邱駿彥	11月27日	59	
112年	第2期	1	11	解僱勞工時應注意之事項有哪些?談解僱之合法性及常見實務爭議案例剖析	黃馨慧	11月17日	113	
112年	第2期	1	11	職場霸凌理論與實務--以職場性騷擾為例	傅柏翔	11月17日	97	
112年	第2期	1	11	「責任制」約定之合法性-何謂工時豁免制及勞動法對工時之界線規範	葛百鈴	11月13日	98	
112年	第2期	5	11	勞動基準法概論	張軒豪	11月10日	100	
112年	第2期	5	11	勞動基準法概論	張軒豪	11月6日	105	
112年	第2期	1	11	承攬、僱傭、派遣之差異性及勞動法令規範制度	邱羽凡	11月1日	117	
112年	第2期	5	10	勞動基準法概論	張軒豪	10月30日	109	
112年	第2期	5	10	勞動基準法概論	張軒豪	10月25日	116	
112年	第2期	1	10	面試時可以做身家調查嗎?-面試時雇主之各類行為合法性探討	李瑞敏	10月23日	112	
112年	第2期	1	10	勞工因參加工會而遭解僱時該怎麼辦?淺談不當勞動行為之態樣及救濟方式	李柏毅	10月12日	36	
112年	第2期	1	10	雇主之職場不法侵害預防義務及措施解析	王安祥	10月5日	83	
112年	第2期	1	10	性別平權與就業歧視之案例解析	王如玄	10月4日	61	
112年	第2期	5	10	勞動基準法概論	張軒豪	10月2日	109	
112年	第2期	1	9	勞工職業災害保險及保護法概要	王嘉琪、楊國楨	9月26日	94	
112年	第2期	1	9	勞工休假及請假權益之法規範解析	蔡菘萍	9月20日	107	
112年	第2期	1	9	勞動契約常見之違法態樣 一以勞動契約簽訂、工時及工資爭議為例	葉建廷	9月15日	101	
112年	第2期	1	9	工作中發生意外，雇主應負之義務與責任	翁瑋	9月11日	95	
112年	第2期	1	9	工作規則之不利變更是否拘束勞工?工作規則及勞資會議實務案例解析大公開	劉素吟	9月8日	105	
112年	第2期	1	9	遇到勞資爭議該怎麼處理_ 常見之勞資爭議案例及爭 議處理機制之運用	林俊宏	9月6日	90	
112年	第2期	1	8	探討調職之合法性-認識調動五原則之相關法規範	邱靖棠	8月31日	99	
112年	第2期	1	8	何謂工資?工資定義及雇主之工資給付義務	陳庭琪	8月21日	113	
112年	第1期	5	6	勞動基準法概論	李柏毅	6月21日	89	
112年	第1期	3	6	<全日班>非正規教育學分班-勞動基準法及相關法令剖析	邱駿彥	6月20日	55	
112年	第1期	2	6	新法報你知-《勞工職業災害保險及保護法》之理論與實務解析	翁瑋	6月19日	98	
112年	第1期	3	6	<全日班>非正規教育學分班-勞動基準法及相關法令剖析	邱駿彥	6月13日	61	
112年	第1期	2	6	新法報你知-《勞工職業災害保險及保護法》之理論與實務解析	翁瑋	6月9日	98	
