case_code,market_name,addr,business_week,context,ValidDate,Latitude,Lontitude,type,badge_code,business_hours,business_hurs_end,last_edited_date
2023082900001,福緣麵店.福緣茶行,高雄市大寮區崇賢路61號,星期一，星期二，星期三，星期四，星期五，星期六,本店是由女性經營，自民國49年至今， 以真材食料為主旨服務至今，主要賣的是麵食，後來慢慢研發至飯食，所以到現在己經完全己具備麵飯、湯及一些單點，所有食材能夠自己製造就自己製造，也對食品把關做到最嚴謹。,2026/10/20 00:00:00,22.592818,120.400561,餐飲,D005708,10:30,19:30,2024/03/18 09:30:02
2023082800001,瓦咖喱家,高雄市大寮區鳳林三路258號1樓,星期一，星期二，星期三，星期五，星期六，星期日,日式丼飯 香料咖哩 美味蔬食瓦咖喱家 Rendezvous 瓦 カレー屋佇大寮，有我佮你           https://www.facebook.com/WowCurryWeCarry/ ,2026/11/24 00:00:00,22.600548,120.398975,餐飲,A001188,11:00,20:00,2023/12/08 11:42:31
2023060600001,初原麵場_新莊福樂店,新北市新莊區福樂街13號,星期一，星期二，星期三，星期四，星期五，星期六，星期日,源自三峽老街祖師廟前的屋台拉麵,2026/07/12 00:00:00,25.044961,121.457806,餐飲,A001185,11:00,21:00,2023/12/08 11:42:28
2023052600001,炒房の炒飯,臺中市北區篤行路234號,星期一，星期二，星期三，星期四，星期五，星期六，星期日,炒飯、鍋燒麵專賣店。平凡的炒飯 不平凡的味；有著房子外觀的炒台，內用環境乾淨舒適；希望來店消費的客人都有著回家吃飯的感覺~,2026/07/12 00:00:00,24.152472,120.6737,餐飲,D005703,10:00,21:00,2023/12/08 11:42:27
2023050900001,勝博殿台中三井Lalaport店,臺中市東區進德路600號5樓,星期一，星期二，星期三，星期四，星期五，星期六，星期日,本店使用國產豬肉,2026/06/10 00:00:00,24.135232,120.692742,餐飲,D005702,11:00,22:00,2023/12/08 11:42:25
2023050200001,新莊幸福店,新北市新莊區幸福路708號1樓,星期一，星期二，星期三，星期四，星期五，星期六，星期日,30年來如一日堅持手工現烤。所有豬肉乾採用新鮮豬後腿肉，以釀造 180天的家傳 古早味醬油醃製而成，真空按摩後高溫烘烤，厚度、熟度、 色澤須同時兼顧，火候拿捏成了獨門技術。快車的招牌商品可謂厚薄雙絕。最暢銷的杏仁薄脆肉紙，平均每片要花1.5小時方能製作完成，厚度僅0.01公分，薄可透光，爽脆香酥。為了防止碎裂，包裝時需要人工費神一片一片夾入。還有1公分招牌特厚豬肉乾，為了確保新鮮度每天限量。,2026/05/10 00:00:00,25.049252,121.449786,販售,C003289,11:00,21:00,2023/12/08 11:42:24
2023050100001,老師的古早味,花蓮縣吉安鄉自強路588號1樓,星期二，星期三，星期四，星期五，星期六，星期日,,2026/06/10 00:00:00,23.987704,121.592877,餐飲,D005701,11:30,19:30,2023/12/08 11:42:23
2023042900001,尚鮮企業社,南投縣草屯鎮碧興路二段1555號,星期一，星期二，星期三，星期四，星期五,客制化肉品加工配送,2026/07/12 00:00:00,24.008804,120.642322,餐飲,B003300,08:00,18:00,2023/12/08 11:42:21
2023032100001,初原麵場-新竹湖口店,新竹縣湖口鄉溪南二街21號,星期一，星期二，星期三，星期四，星期五，星期六，星期日,源自三峽老街祖師廟前的屋台拉麵,2026/05/10 00:00:00,24.8976,121.04395,餐飲,A001183,11:00,20:30,2023/12/08 11:42:19
2022120600001,初原麵場_中壢莊敬店,桃園市中壢區普騰街26巷25號,星期一，星期二，星期三，星期四，星期五，星期六，星期日,源自三峽老街祖師廟前的屋台拉麵,2025/12/14 00:00:00,24.964398,121.255509,餐飲,A001181,11:00,21:00,2023/12/08 11:42:17
